epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7818,1.56044,3.26647,1.59807,0.4594,0.21857,0.17054,0.07236,2.01956,2.93083,1.85456,0.000369284,0.000369284,0.000369284
2,188.414,1.53876,2.24227,1.56523,0.61479,0.17577,0.17253,0.07541,2.20569,3.013,1.97856,0.000666395,0.000666395,0.000666395
3,277.398,1.51859,1.90931,1.55073,0.24914,0.2608,0.189,0.08632,2.07873,2.85379,1.85125,0.000890181,0.000890181,0.000890181
4,365.291,1.45415,1.71557,1.4938,0.23987,0.27014,0.21175,0.09576,2.03964,2.61737,1.79975,0.000781033,0.000781033,0.000781033
5,453.234,1.38376,1.57513,1.4403,0.33439,0.22616,0.22975,0.10613,2.09089,2.66464,1.79214,0.000671044,0.000671044,0.000671044
6,541.122,1.32168,1.46746,1.38804,0.37911,0.23455,0.25532,0.1229,1.95968,2.5664,1.67557,0.000561055,0.000561055,0.000561055
7,629.798,1.25629,1.36529,1.33492,0.445,0.22123,0.25492,0.12849,1.91939,2.59852,1.68123,0.000451066,0.000451066,0.000451066
8,718.716,1.21186,1.27648,1.30781,0.31051,0.249,0.24045,0.12465,1.93134,2.54597,1.67164,0.000341077,0.000341077,0.000341077
9,807.743,1.16718,1.21775,1.28446,0.41003,0.2354,0.25382,0.1305,1.82946,2.5163,1.60147,0.000231088,0.000231088,0.000231088
10,896.194,1.11724,1.1374,1.25369,0.40121,0.26099,0.27383,0.14225,1.80636,2.43843,1.56195,0.000121099,0.000121099,0.000121099
