epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.57,2.08445,4.69115,1.7486,0.00403,0.23072,0.02165,0.0098,1.83035,4.60664,1.70416,0.00027775,0.00027775,0.00027775
2,391.166,2.0048,4.0204,1.70111,0.9646,0.00699,0.04541,0.02091,1.95405,4.40019,1.77938,0.000510516,0.000510516,0.000510516
3,544.577,2.03002,3.65607,1.57784,0.70036,0.05707,0.06959,0.02649,1.91906,3.96442,1.7926,0.000686087,0.000686087,0.000686087
4,708.807,1.95079,3.51615,1.59916,0.41355,0.18505,0.15559,0.0646,1.88224,3.59332,1.76112,0.000781033,0.000781033,0.000781033
5,867.505,1.9642,3.49291,1.62909,0.62454,0.20079,0.16838,0.07865,1.83639,3.51438,1.71561,0.000671044,0.000671044,0.000671044
6,1028.3,1.9347,3.32103,1.65198,0.44859,0.26466,0.19967,0.08914,1.80461,3.45584,1.68541,0.000561055,0.000561055,0.000561055
7,1200.83,1.82215,3.07541,1.47221,0.5495,0.25204,0.24733,0.11874,1.74812,3.25342,1.63069,0.000451066,0.000451066,0.000451066
8,1358.52,1.80261,3.06194,1.53043,0.50811,0.34003,0.28999,0.14931,1.63683,3.05965,1.53503,0.000341077,0.000341077,0.000341077
9,1542.89,1.70846,2.96201,1.46507,0.49562,0.35433,0.30695,0.15887,1.58327,3.02647,1.47267,0.000231088,0.000231088,0.000231088
10,1701.39,1.71317,2.82008,1.43776,0.36468,0.36373,0.34373,0.18499,1.50438,2.8891,1.42507,0.000121099,0.000121099,0.000121099
