area,aspect_ratio,solidity,compactness,split,image,defect_idx,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2
84686.0,1.135135135135135,0.7478750038636294,10.806469648062913,train,11668_2014_9832_Fig2_HTML_jpg.rf.0519913fd8f8d9f23a74eb858604d380.jpg,0,0,220,95,752,236
28772.0,2.837037037037037,0.703128054740958,10.330686744998488,train,11668_2014_9832_Fig2_HTML_jpg.rf.0519913fd8f8d9f23a74eb858604d380.jpg,1,0,257,330,774,949
3132.5,0.7922077922077922,0.9060014461315979,3.1996129998713094,train,11668_2014_9832_Fig2_HTML_jpg.rf.125600a73cf1601f1f10c88018c5786a.jpg,0,0,88,176,271,526
59904.0,1.005586592178771,0.4912177121771218,15.341297469639365,train,11668_2014_9832_Fig2_HTML_jpg.rf.125600a73cf1601f1f10c88018c5786a.jpg,1,0,274,282,833,847
19115.5,0.2554945054945055,0.7897172130300965,4.075712831461658,train,11668_2014_9832_Fig2_HTML_jpg.rf.2b02324926fd836c3ed8d4d4e0979387.jpg,0,0,306,276,924,827
7074.0,1.2815533980582525,0.7115626414524971,3.507545594057081,train,11668_2014_9832_Fig2_HTML_jpg.rf.2b02324926fd836c3ed8d4d4e0979387.jpg,1,0,165,152,462,458
87258.0,1.0343915343915344,0.6372918492550395,10.68879713994469,train,11668_2014_9832_Fig2_HTML_jpg.rf.3c4cd59f35e64d5ad8b49d43e13764ba.jpg,1,0,249,262,740,775
35711.0,0.2698961937716263,0.7098332306346777,7.765823785752036,train,11668_2014_9832_Fig2_HTML_jpg.rf.43a3ba7496404c2d401b4574993fd631.jpg,0,0,321,62,958,181
9365.0,1.0891089108910892,0.8983213429256595,2.552784026099106,train,11668_2014_9832_Fig2_HTML_jpg.rf.43a3ba7496404c2d401b4574993fd631.jpg,1,0,72,137,238,444
16450.5,0.2969187675070028,0.7256666446106002,10.156958382788764,train,11668_2014_9832_Fig2_HTML_jpg.rf.4adaa93c63e8cc813b6b564aed7cbcf9.jpg,0,0,285,283,861,876
5466.0,1.29,0.6431344864101659,3.8325483886133833,train,11668_2014_9832_Fig2_HTML_jpg.rf.4adaa93c63e8cc813b6b564aed7cbcf9.jpg,1,0,129,155,444,468
17174.0,0.4180602006688963,0.8969317143230187,4.38194275539176,train,11668_2014_9832_Fig2_HTML_jpg.rf.4d8886b299d45f7931a78c97582980e4.jpg,0,0,299,263,900,776
77265.5,0.8471910112359551,0.5154555613002219,19.478168644262038,train,11668_2014_9832_Fig2_HTML_jpg.rf.535684ce85fe41a78eaf8a91cd3f15e9.jpg,1,0,263,195,769,556
5890.5,3.630434782608696,0.8961661341853036,4.041822350047121,train,11668_2014_9832_Fig2_HTML_jpg.rf.575bfe7050f57ce809f8fc510a911faf.jpg,0,0,145,236,478,648
67849.0,1.2178571428571427,0.771857775856479,17.888296851348723,train,11668_2014_9832_Fig2_HTML_jpg.rf.575bfe7050f57ce809f8fc510a911faf.jpg,1,0,151,115,492,387
3816.5,0.7317073170731707,0.8342076502732241,5.598022762015221,train,11668_2014_9832_Fig2_HTML_jpg.rf.5b42456262463c81683effcb3d664a8f.jpg,0,0,40,41,124,110
73558.5,0.9258373205741627,0.6470207937513194,9.110191983149182,train,11668_2014_9832_Fig2_HTML_jpg.rf.5b42456262463c81683effcb3d664a8f.jpg,1,0,211,180,598,545
277.5,4.111111111111111,0.9910714285714286,2.1329036598551516,train,11668_2014_9832_Fig2_HTML_jpg.rf.621cc90d29ca5ad3949d28481b9b11d0.jpg,0,0,34,89,98,244
123017.5,0.7137476459510358,0.6431850384026184,23.19577173239147,train,11668_2014_9832_Fig2_HTML_jpg.rf.621cc90d29ca5ad3949d28481b9b11d0.jpg,1,0,261,109,759,379
5895.5,2.4210526315789473,0.8818997756170531,2.5895951437452305,train,11668_2014_9832_Fig2_HTML_jpg.rf.7401f079f2c62c579a8401dcacacdd60.jpg,0,0,146,214,448,662
34296.0,1.2738589211618256,0.6330945876098354,10.501357466643059,train,11668_2014_9832_Fig2_HTML_jpg.rf.7401f079f2c62c579a8401dcacacdd60.jpg,1,0,155,123,462,383
84559.5,1.175,0.7517535983215241,10.223441789006827,train,11668_2014_9832_Fig2_HTML_jpg.rf.7639c59c2be43e9a7308a118de989f42.jpg,0,0,217,92,739,222
26536.5,3.125,0.7254869797006356,8.449591977828048,train,11668_2014_9832_Fig2_HTML_jpg.rf.7639c59c2be43e9a7308a118de989f42.jpg,1,0,265,332,798,940
84311.5,0.8017817371937639,0.5344017798286091,13.959751841435862,train,11668_2014_9832_Fig2_HTML_jpg.rf.8e83a64e27e56e43b04ecc37311866e0.jpg,1,0,205,157,606,468
63507.5,1.173913043478261,0.7730346242095589,19.610641209763557,train,11668_2014_9832_Fig2_HTML_jpg.rf.98ded7fe1894bdea29b962719f3314a5.jpg,0,0,160,109,484,333
115309.5,0.6641651031894934,0.6668758313573535,9.110216864860194,train,11668_2014_9832_Fig2_HTML_jpg.rf.9f3574742ca4ae8317cb728e2f176dea.jpg,1,0,286,107,874,312
95037.0,0.8883720930232558,0.6142733874329814,8.121433099080392,train,11668_2014_9832_Fig2_HTML_jpg.rf.a1332687aa7d8baecad7f288ab30fdd0.jpg,1,0,245,210,720,597
78690.5,1.0421052631578946,0.64611096058001,25.10912781287766,train,11668_2014_9832_Fig2_HTML_jpg.rf.a42b6f37a0bdf9afc54375f0941eebb6.jpg,0,0,182,90,578,249
60892.5,1.1079545454545454,0.4961420004562787,16.016339671827254,train,11668_2014_9832_Fig2_HTML_jpg.rf.a42b6f37a0bdf9afc54375f0941eebb6.jpg,1,0,249,288,736,852
4051.5,3.3636363636363638,0.8097331867692615,3.7290224922465933,train,11668_2014_9832_Fig2_HTML_jpg.rf.aa8b3e2321161df180653bbc98417770.jpg,1,0,80,75,228,216
75170.0,0.6522727272727272,0.8573269692459469,8.930207360840194,train,11668_2014_9832_Fig2_HTML_jpg.rf.acf3441ccec090d46c6dae05b39b9d04.jpg,0,0,210,178,618,536
3678.5,0.6701030927835051,0.8610720973782772,2.094455161140236,train,11668_2014_9832_Fig2_HTML_jpg.rf.acf3441ccec090d46c6dae05b39b9d04.jpg,1,0,59,93,190,294
55825.5,0.8564593301435407,0.4804632028298233,16.713883953219025,train,11668_2014_9832_Fig2_HTML_jpg.rf.b2693c52264b2378edd45b6c98755e99.jpg,1,0,282,215,862,661
63881.5,0.44893617021276594,0.7441666763743112,12.16634952701703,train,11668_2014_9832_Fig2_HTML_jpg.rf.b6083bc8ec8bbb195a3b781366af609c.jpg,0,0,233,152,708,459
63932.0,0.8914141414141414,0.4675408253559649,12.730739903339801,train,11668_2014_9832_Fig2_HTML_jpg.rf.b8462087b8db275cee8117391cabfbe5.jpg,1,0,287,244,849,721
65140.5,0.8609756097560975,0.501729157680695,12.06113677311738,train,11668_2014_9832_Fig2_HTML_jpg.rf.b9cc85150df0ee86f7c517dc86395123.jpg,1,0,274,229,837,706
15512.5,0.2898550724637681,0.889911941026303,3.468353992670722,train,11668_2014_9832_Fig2_HTML_jpg.rf.bf3842951bc59ee99d8c3b0b1ff570e6.jpg,0,0,281,267,848,812
21455.0,1.5474452554744527,0.852725502275392,4.872472497260529,train,11668_2014_9832_Fig2_HTML_jpg.rf.bf3842951bc59ee99d8c3b0b1ff570e6.jpg,1,0,97,172,309,512
143880.5,0.740530303030303,0.7844810900258167,6.048825300196706,train,11668_2014_9832_Fig2_HTML_jpg.rf.d7092b01f3510f7b8b1d57f82c004751.jpg,1,0,238,110,679,373
93483.5,0.9325581395348838,0.5775363572337613,21.285073208493237,train,11668_2014_9832_Fig2_HTML_jpg.rf.d8d97ae09444e2e2079ef2dd6c9da0fc.jpg,1,0,239,210,706,595
32033.5,2.643835616438356,0.711057590925739,11.995193502997239,train,11668_2014_9832_Fig2_HTML_jpg.rf.d9838155dc361d2a775583bf68fe67dd.jpg,0,0,254,320,763,959
79899.0,1.05,0.7060242560805885,14.860587142289235,train,11668_2014_9832_Fig2_HTML_jpg.rf.d9838155dc361d2a775583bf68fe67dd.jpg,1,0,214,86,613,269
76534.0,0.4456066945606695,0.8238453796347627,7.982024446044608,train,11668_2014_9832_Fig2_HTML_jpg.rf.e37aa4b7a57e541c511f93d69746e512.jpg,0,0,237,162,696,494
4853.0,0.45217391304347826,0.9194770746494885,2.149094407681412,train,11668_2014_9832_Fig2_HTML_jpg.rf.e37aa4b7a57e541c511f93d69746e512.jpg,1,0,58,66,181,165
65075.0,0.45555555555555555,0.7661109933837207,9.391493678258968,train,11668_2014_9832_Fig2_HTML_jpg.rf.eb1e1dd6ad873c9bd893bf7b0d6a0ea8.jpg,0,0,270,190,786,540
94738.5,0.8837719298245614,0.6813587114823778,13.29061718403351,train,11668_2014_9832_Fig2_HTML_jpg.rf.ed382b3c41b213872bf8643627f8c90e.jpg,0,0,209,156,612,472
664.0,0.5609756097560976,0.8567741935483871,1.906963646154323,train,11668_2014_9832_Fig2_HTML_jpg.rf.ed382b3c41b213872bf8643627f8c90e.jpg,1,0,40,93,134,291
63299.0,0.6055045871559633,0.7772947749739055,12.598353465163777,train,11668_2014_9832_Fig2_HTML_jpg.rf.f03547f4b4ba8941ba2cfd2794f45f8c.jpg,0,0,234,173,711,533
